ad1,1,admin,Liam
ad2,1,admin,Olivia
sm1,1,salesman,Ava
sm2,1,salesman,Isabella
sm3,1,salesman,Sophia
sm4,1,salesman,Mia
sm5,1,salesman,Amelia
sm6,1,salesman,Charlotte
sm7,1,salesman,Harper
sm8,1,salesman,Aria
sm9,1,salesman,Ella
sm10,1,salesman,Evelyn
sm11,1,salesman,Abigail
sm12,1,salesman,Noah
sm13,1,salesman,Lucas
sm14,1,salesman,Logan
sm15,1,salesman,Mason
sm16,1,salesman,Ethan
sm17,1,salesman,Oliver
sm18,1,salesman,Elijah
sm19,1,salesman,Aiden
sm20,1,salesman,James
sm21,1,salesman,Benjamin
sm22,1,salesman,Sebastian
sm23,1,salesman,Alexander
SupplierDad,1,supplier,SupplierDad
SupplierMum,1,supplier,SupplierMum
